type,fraction,run,accuracy,thinking_length,non_thinking_length,problem_id
original,0.0,0,100.0,5443,1339,1992-8
original,0.0,0,100.0,14087,1364,1992-9
original,0.0,0,100.0,20698,1744,1992-10
original,0.0,0,100.0,14056,1574,1992-11
original,0.0,0,100.0,10794,817,1992-12
original,0.0,0,0.0,39702,0,1992-13
original,0.0,0,100.0,13135,773,1992-14
original,0.0,0,100.0,33992,1524,1992-15
original,0.0,0,0.0,51701,0,1993-1
original,0.0,0,100.0,11011,2336,1993-2
original,0.0,0,100.0,14948,1208,1993-4
original,0.0,0,0.0,27523,1498,1993-5
original,0.0,0,100.0,8049,1477,1993-6
original,0.0,0,100.0,36469,1612,1993-7
original,0.0,0,100.0,16274,1389,1993-8
original,0.0,0,100.0,33391,2305,1993-9
original,0.0,0,100.0,17222,1494,1993-10
original,0.0,0,0.0,53138,0,1993-11
original,0.0,0,0.0,44695,0,1993-12
original,0.0,0,0.0,61520,0,1993-13
original,0.0,0,0.0,43601,0,1993-14
original,0.0,0,0.0,12381,2085,1993-15
original,0.0,0,0.0,22068,857,1994-1
original,0.0,0,100.0,23323,1856,1994-2
original,0.0,0,100.0,12110,1246,1994-8
original,0.0,0,100.0,43478,2570,1994-9
original,0.0,0,100.0,26132,1699,1994-10
original,0.0,0,0.0,30374,1489,1994-11
original,0.0,0,0.0,17123,1910,1994-12
original,0.0,0,0.0,59930,0,1994-14
original,0.0,0,0.0,56043,264,1994-15
original,0.0,0,0.0,29924,1643,1995-1
original,0.0,0,0.0,10012,1385,1995-2
original,0.0,0,0.0,41759,1897,1995-3
original,0.0,0,0.0,32662,1561,1995-4
original,0.0,0,100.0,15592,1184,1995-5
original,0.0,0,100.0,9332,768,1995-6
original,0.0,0,100.0,14990,1630,1995-8
original,0.0,0,100.0,14565,1828,1995-9
original,0.0,0,0.0,46695,0,1995-10
original,0.0,0,0.0,36454,1930,1995-11
original,0.0,0,100.0,29659,1853,1995-12
original,0.0,0,100.0,13356,1576,1995-13
original,0.0,0,0.0,33007,1647,1995-14
original,0.0,0,100.0,11843,2461,1995-15
original,0.0,0,100.0,8133,1039,1996-2
original,0.0,0,100.0,5640,1238,1996-3
original,0.0,0,0.0,19530,1278,1996-4
original,0.0,0,100.0,8629,833,1996-5
original,0.0,0,100.0,15666,1658,1996-6
original,0.0,0,100.0,26350,1134,1996-7
original,0.0,0,100.0,7726,1657,1996-8
original,0.0,0,0.0,38282,761,1996-9
original,0.0,0,100.0,13887,1510,1996-10
original,0.0,0,100.0,32996,1992,1996-11
original,0.0,0,100.0,15037,1287,1996-12
original,0.0,0,0.0,34946,1394,1996-13
original,0.0,0,100.0,8527,1077,1996-14
original,0.0,0,0.0,26936,1442,1996-15
original,0.0,0,100.0,12081,1311,1997-1
original,0.0,0,100.0,5593,1360,1997-2
original,0.0,0,100.0,7280,876,1997-3
original,0.0,0,100.0,29396,2068,1997-4
original,0.0,0,0.0,40634,0,1997-5
original,0.0,0,0.0,41932,0,1997-6
original,0.0,0,100.0,10107,1637,1997-7
original,0.0,0,100.0,41688,1266,1997-8
original,0.0,0,100.0,8195,1467,1997-9
original,0.0,0,0.0,28835,817,1997-10
original,0.0,0,100.0,10200,1346,1997-11
original,0.0,0,100.0,28845,1633,1997-12
original,0.0,0,100.0,19850,1431,1997-14
original,0.0,0,100.0,29396,1823,1997-15
original,0.0,0,100.0,10665,1096,1998-1
original,0.0,0,100.0,18858,1248,1998-2
original,0.0,0,100.0,21285,1817,1998-3
original,0.0,0,100.0,15020,1901,1998-4
original,0.0,0,100.0,33654,1118,1998-5
original,0.0,0,100.0,10641,1377,1998-6
keywords,0.1,1,100.0,39,1334,1983-1
keywords,0.1,1,100.0,75,1375,1983-2
keywords,0.1,1,0.0,0,0,1983-3
keywords,0.1,1,100.0,11,1105,1983-4
keywords,0.1,1,100.0,38,1497,1983-5
keywords,0.1,1,100.0,119,993,1983-6
keywords,0.1,1,100.0,10,747,1983-7
keywords,0.1,1,100.0,11,1695,1983-8
keywords,0.1,1,100.0,39,905,1983-9
keywords,0.1,1,100.0,11,1180,1983-10
keywords,0.1,1,100.0,10,1605,1983-11
keywords,0.1,1,100.0,39,1558,1983-12
keywords,0.1,1,100.0,10,844,1983-13
keywords,0.1,1,100.0,9816,1352,1983-14
keywords,0.1,1,0.0,4683,0,1983-15
keywords,0.1,1,100.0,10,1705,1984-1
keywords,0.1,1,100.0,40,863,1984-2
keywords,0.1,1,100.0,11,1522,1984-3
keywords,0.1,1,100.0,40,1345,1984-4
keywords,0.1,1,100.0,40,1438,1984-5
keywords,0.1,1,100.0,9511,218,1984-6
keywords,0.1,1,100.0,1059,0,1984-7
keywords,0.1,1,100.0,160,1102,1984-8
keywords,0.1,1,100.0,39,1157,1984-9
keywords,0.1,1,0.0,14277,0,1984-10
keywords,0.1,1,100.0,11,1351,1984-11
keywords,0.1,1,0.0,70,940,1984-12
keywords,0.1,1,0.0,0,0,1984-13
keywords,0.1,1,100.0,39,798,1984-14
keywords,0.1,1,100.0,40,1359,1985-1
keywords,0.1,1,100.0,11,64,1985-2
keywords,0.1,1,100.0,10,1272,1985-3
keywords,0.1,1,100.0,19,1413,1985-4
keywords,0.1,1,100.0,40,1667,1985-5
keywords,0.1,1,0.0,7496,0,1985-6
keywords,0.1,1,100.0,11,1001,1985-7
keywords,0.1,1,0.0,39,1313,1985-8
keywords,0.1,1,100.0,11,2234,1985-9
keywords,0.1,1,0.0,41,1506,1985-10
keywords,0.1,1,100.0,3459,1705,1985-11
keywords,0.1,1,100.0,65,1329,1985-12
keywords,0.1,1,100.0,42,1493,1985-13
keywords,0.1,1,100.0,11,67,1985-14
keywords,0.1,1,0.0,10,962,1985-15
keywords,0.1,1,100.0,40,801,1986-1
keywords,0.1,1,100.0,11,1336,1986-2
keywords,0.1,1,100.0,40,681,1986-3
keywords,0.1,1,100.0,1440,1400,1986-5
